mir,gene
hsa-miR-196b-5p,H19
hsa-miR-197-3p,PTEN
hsa-miR-199b-5p,H19
hsa-miR-19a-3p,H19
hsa-miR-19a-3p,PTEN
hsa-miR-19a-3p,QKI
hsa-miR-19a-3p,NFIA
hsa-miR-19a-3p,KLF6
hsa-miR-200a-3p,H19
hsa-miR-200a-3p,PTEN
hsa-miR-200a-3p,QKI
hsa-miR-200a-3p,TNKS2
hsa-miR-200a-3p,KLF6
hsa-miR-200a-3p,NFIA
hsa-miR-200a-3p,TCF4
hsa-miR-200b-3p,H19
hsa-miR-200b-3p,QKI
hsa-miR-200b-3p,IGF2
hsa-miR-200b-3p,KLF6
hsa-miR-200b-3p,TNKS2
hsa-miR-200b-3p,NFIA
hsa-miR-200b-3p,TCF4
hsa-miR-200c-3p,H19
hsa-miR-200c-3p,QKI
hsa-miR-200c-3p,IGF2
hsa-miR-200c-3p,KLF6
hsa-miR-200c-3p,TNKS2
hsa-miR-200c-3p,NFIA
hsa-miR-200c-3p,TCF4
hsa-miR-202-3p,RB1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,KLF6
hsa-miR-204-5p,QKI
hsa-miR-204-5p,TNKS2
hsa-miR-205-5p,PTEN
hsa-miR-206,H19
hsa-miR-206,TNKS2
hsa-miR-20a-5p,H19
hsa-miR-20a-5p,PTEN
hsa-miR-20a-5p,RB1
hsa-miR-20a-5p,TNKS2
hsa-miR-20a-5p,QKI
hsa-miR-20a-5p,TCF4
hsa-miR-20a-5p,KLF6
hsa-miR-20a-5p,NFIA
hsa-miR-20a-5p,SOX5
hsa-miR-20b-5p,H19
hsa-miR-20b-5p,PTEN
hsa-miR-20b-5p,TNKS2
hsa-miR-20b-5p,RB1
hsa-miR-20b-5p,QKI
hsa-miR-20b-5p,KLF6
hsa-miR-20b-5p,TCF4
hsa-miR-20b-5p,NFIA
hsa-miR-2110,H19
hsa-miR-212-3p,H19
hsa-miR-212-3p,RB1
hsa-miR-214-3p,PTEN
hsa-miR-214-3p,QKI
hsa-miR-21-5p,SOX5
hsa-miR-21-5p,PTEN
hsa-miR-21-5p,RB1
hsa-miR-21-5p,NFIA
hsa-miR-21-5p,TCF4
hsa-miR-217,PTEN
hsa-miR-217,TNKS2
hsa-miR-221-3p,H19
hsa-miR-221-3p,PTEN
hsa-miR-221-3p,TNKS2
hsa-miR-221-3p,RB1
hsa-miR-221-3p,QKI
hsa-miR-221-3p,TCF4
hsa-miR-222-3p,H19
hsa-miR-222-3p,PTEN
hsa-miR-222-3p,QKI
hsa-miR-222-3p,TNKS2
hsa-miR-223-3p,NFIA
hsa-miR-223-3p,SOX5
hsa-miR-22-3p,H19
hsa-miR-22-3p,PTEN
hsa-miR-22-3p,KLF6
hsa-miR-22-3p,QKI
hsa-miR-22-3p,TNKS2
hsa-miR-22-3p,TCF4
hsa-miR-224-5p,QKI
hsa-miR-224-5p,IGF2
hsa-miR-23a-3p,PTEN
hsa-miR-23a-3p,RB1
hsa-miR-23b-3p,RB1
hsa-miR-23b-3p,PTEN
hsa-miR-23c,PTEN
hsa-miR-23c,RB1
hsa-miR-25-3p,PTEN
hsa-miR-25-3p,KLF6
hsa-miR-25-3p,TNKS2
hsa-miR-25-3p,TCF4
hsa-miR-26b-5p,SOX5
hsa-miR-26b-5p,RB1
hsa-miR-26b-5p,PTEN
hsa-miR-26b-5p,KLF6
hsa-miR-26b-5p,TNKS2
hsa-miR-26b-5p,NFIA
hsa-miR-27a-3p,IGF1
hsa-miR-27a-3p,KLF6
hsa-miR-27a-3p,TNKS2
hsa-miR-27b-3p,KLF6
hsa-miR-27b-3p,TNKS2
hsa-miR-28-5p,H19
hsa-miR-28-5p,KLF6
hsa-miR-28-5p,TCF4
hsa-miR-296-5p,H19
hsa-miR-29a-3p,H19
hsa-miR-29a-3p,PTEN
hsa-miR-29a-3p,NFIA
hsa-miR-29a-3p,IGF1
hsa-miR-29a-3p,QKI
hsa-miR-29c-3p,H19
hsa-miR-29c-3p,PTEN
hsa-miR-29c-3p,QKI
hsa-miR-29c-3p,NFIA
hsa-miR-29c-3p,TCF4
hsa-miR-301a-3p,H19
hsa-miR-301a-3p,PTEN
hsa-miR-301a-3p,QKI
hsa-miR-301a-3p,KLF6
hsa-miR-301a-3p,RB1
hsa-miR-301a-3p,NFIA
hsa-miR-301a-3p,TCF4
hsa-miR-301b,QKI
hsa-miR-301b,RB1
hsa-miR-301b,PTEN
hsa-miR-301b,NFIA
hsa-miR-301b,TCF4
hsa-miR-30a-5p,H19
hsa-miR-30b-5p,H19
hsa-miR-30b-5p,NFIA
hsa-miR-30b-5p,QKI
hsa-miR-30b-5p,TNKS2
hsa-miR-30d-5p,H19
hsa-miR-30d-5p,NFIA
